"GEO_ID","NAME","B25035_001E","B25035_001M"
"id","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built"
"8600000US90001","ZCTA5 90001","1949","2"
"8600000US90002","ZCTA5 90002","1954","2"
"8600000US90003","ZCTA5 90003","1954","2"
"8600000US90004","ZCTA5 90004","1946","3"
"8600000US90005","ZCTA5 90005","1950","3"
"8600000US90006","ZCTA5 90006","1943","3"
"8600000US90007","ZCTA5 90007","1954","3"
"8600000US90008","ZCTA5 90008","1954","2"
"8600000US90010","ZCTA5 90010","1990","14"
"8600000US90011","ZCTA5 90011","1946","2"
"8600000US90012","ZCTA5 90012","1986","2"
"8600000US90013","ZCTA5 90013","1939-","***"
"8600000US90014","ZCTA5 90014","1939-","***"
"8600000US90015","ZCTA5 90015","1993","4"
"8600000US90016","ZCTA5 90016","1948","2"
"8600000US90017","ZCTA5 90017","1976","3"
"8600000US90018","ZCTA5 90018","1939-","***"
"8600000US90019","ZCTA5 90019","1944","1"
"8600000US90020","ZCTA5 90020","1967","1"
"8600000US90021","ZCTA5 90021","1939-","***"
"8600000US90022","ZCTA5 90022","1948","1"
"8600000US90023","ZCTA5 90023","1945","2"
"8600000US90024","ZCTA5 90024","1974","2"
"8600000US90025","ZCTA5 90025","1975","2"
"8600000US90026","ZCTA5 90026","1945","3"
"8600000US90027","ZCTA5 90027","1958","1"
"8600000US90028","ZCTA5 90028","1966","2"
"8600000US90029","ZCTA5 90029","1953","3"
"8600000US90031","ZCTA5 90031","1943","3"
"8600000US90032","ZCTA5 90032","1953","2"
"8600000US90033","ZCTA5 90033","1949","3"
"8600000US90034","ZCTA5 90034","1970","2"
"8600000US90035","ZCTA5 90035","1956","2"
"8600000US90036","ZCTA5 90036","1945","2"
"8600000US90037","ZCTA5 90037","1948","2"
"8600000US90038","ZCTA5 90038","1962","2"
"8600000US90039","ZCTA5 90039","1947","3"
"8600000US90040","ZCTA5 90040","1956","3"
"8600000US90041","ZCTA5 90041","1947","3"
"8600000US90042","ZCTA5 90042","1951","2"
"8600000US90043","ZCTA5 90043","1944","1"
"8600000US90044","ZCTA5 90044","1954","1"
"8600000US90045","ZCTA5 90045","1957","2"
"8600000US90046","ZCTA5 90046","1963","2"
"8600000US90047","ZCTA5 90047","1946","2"
"8600000US90048","ZCTA5 90048","1961","2"
"8600000US90049","ZCTA5 90049","1968","2"
"8600000US90056","ZCTA5 90056","1958","2"
"8600000US90057","ZCTA5 90057","1963","2"
"8600000US90058","ZCTA5 90058","1948","7"
"8600000US90059","ZCTA5 90059","1955","2"
"8600000US90061","ZCTA5 90061","1957","2"
"8600000US90062","ZCTA5 90062","1939-","***"
"8600000US90063","ZCTA5 90063","1946","2"
"8600000US90064","ZCTA5 90064","1956","2"
"8600000US90065","ZCTA5 90065","1952","2"
"8600000US90066","ZCTA5 90066","1964","2"
"8600000US90067","ZCTA5 90067","1977","4"
"8600000US90068","ZCTA5 90068","1957","3"
"8600000US90069","ZCTA5 90069","1966","2"
"8600000US90071","ZCTA5 90071","2014+","***"
"8600000US90073","ZCTA5 90073","-","**"
"8600000US90077","ZCTA5 90077","1970","3"
"8600000US90079","ZCTA5 90079","-","**"
"8600000US90089","ZCTA5 90089","1946","4"
"8600000US90090","ZCTA5 90090","-","**"
"8600000US90094","ZCTA5 90094","2006","1"
"8600000US90095","ZCTA5 90095","-","**"
"8600000US90201","ZCTA5 90201","1958","1"
"8600000US90210","ZCTA5 90210","1963","2"
"8600000US90211","ZCTA5 90211","1955","4"
"8600000US90212","ZCTA5 90212","1946","4"
"8600000US90220","ZCTA5 90220","1958","2"
"8600000US90221","ZCTA5 90221","1951","1"
"8600000US90222","ZCTA5 90222","1959","2"
"8600000US90230","ZCTA5 90230","1963","2"
"8600000US90232","ZCTA5 90232","1962","3"
"8600000US90240","ZCTA5 90240","1957","1"
"8600000US90241","ZCTA5 90241","1959","1"
"8600000US90242","ZCTA5 90242","1959","1"
"8600000US90245","ZCTA5 90245","1962","3"
"8600000US90247","ZCTA5 90247","1965","2"
"8600000US90248","ZCTA5 90248","1963","2"
"8600000US90249","ZCTA5 90249","1956","1"
"8600000US90250","ZCTA5 90250","1964","1"
"8600000US90254","ZCTA5 90254","1969","3"
"8600000US90255","ZCTA5 90255","1949","2"
"8600000US90260","ZCTA5 90260","1960","2"
"8600000US90262","ZCTA5 90262","1955","1"
"8600000US90263","ZCTA5 90263","-","**"
"8600000US90265","ZCTA5 90265","1974","2"
"8600000US90266","ZCTA5 90266","1969","2"
"8600000US90270","ZCTA5 90270","1952","2"
"8600000US90272","ZCTA5 90272","1967","3"
"8600000US90274","ZCTA5 90274","1964","2"
"8600000US90275","ZCTA5 90275","1966","1"
"8600000US90277","ZCTA5 90277","1967","2"
"8600000US90278","ZCTA5 90278","1974","2"
"8600000US90280","ZCTA5 90280","1952","2"
"8600000US90290","ZCTA5 90290","1969","5"
"8600000US90291","ZCTA5 90291","1957","2"
"8600000US90292","ZCTA5 90292","1978","1"
"8600000US90293","ZCTA5 90293","1975","2"
"8600000US90301","ZCTA5 90301","1964","2"
"8600000US90302","ZCTA5 90302","1963","2"
"8600000US90303","ZCTA5 90303","1954","1"
"8600000US90304","ZCTA5 90304","1957","2"
"8600000US90305","ZCTA5 90305","1950","2"
"8600000US90401","ZCTA5 90401","1989","6"
"8600000US90402","ZCTA5 90402","1956","3"
"8600000US90403","ZCTA5 90403","1966","2"
"8600000US90404","ZCTA5 90404","1970","2"
"8600000US90405","ZCTA5 90405","1963","2"
"8600000US90501","ZCTA5 90501","1962","2"
"8600000US90502","ZCTA5 90502","1969","3"
"8600000US90503","ZCTA5 90503","1964","2"
"8600000US90504","ZCTA5 90504","1959","2"
"8600000US90505","ZCTA5 90505","1963","1"
"8600000US90506","ZCTA5 90506","-","**"
"8600000US90601","ZCTA5 90601","1960","2"
"8600000US90602","ZCTA5 90602","1955","1"
"8600000US90603","ZCTA5 90603","1957","1"
"8600000US90604","ZCTA5 90604","1958","2"
"8600000US90605","ZCTA5 90605","1956","1"
"8600000US90606","ZCTA5 90606","1955","1"
"8600000US90620","ZCTA5 90620","1959","2"
"8600000US90621","ZCTA5 90621","1974","2"
"8600000US90623","ZCTA5 90623","1972","2"
"8600000US90630","ZCTA5 90630","1970","1"
"8600000US90631","ZCTA5 90631","1966","1"
"8600000US90638","ZCTA5 90638","1960","2"
"8600000US90640","ZCTA5 90640","1963","1"
"8600000US90650","ZCTA5 90650","1957","1"
"8600000US90660","ZCTA5 90660","1956","1"
"8600000US90670","ZCTA5 90670","1959","2"
"8600000US90680","ZCTA5 90680","1973","1"
"8600000US90701","ZCTA5 90701","1963","2"
"8600000US90703","ZCTA5 90703","1973","2"
"8600000US90704","ZCTA5 90704","1951","12"
"8600000US90706","ZCTA5 90706","1963","1"
"8600000US90710","ZCTA5 90710","1971","2"
"8600000US90712","ZCTA5 90712","1956","1"
"8600000US90713","ZCTA5 90713","1956","1"
"8600000US90715","ZCTA5 90715","1966","1"
"8600000US90716","ZCTA5 90716","1966","2"
"8600000US90717","ZCTA5 90717","1964","2"
"8600000US90720","ZCTA5 90720","1964","1"
"8600000US90723","ZCTA5 90723","1969","1"
"8600000US90731","ZCTA5 90731","1958","2"
"8600000US90732","ZCTA5 90732","1967","2"
"8600000US90740","ZCTA5 90740","1966","1"
"8600000US90742","ZCTA5 90742","1958","5"
"8600000US90743","ZCTA5 90743","1973","5"
"8600000US90744","ZCTA5 90744","1958","1"
"8600000US90745","ZCTA5 90745","1964","1"
"8600000US90746","ZCTA5 90746","1966","2"
"8600000US90747","ZCTA5 90747","-","**"
"8600000US90755","ZCTA5 90755","1980","3"
"8600000US90802","ZCTA5 90802","1964","2"
"8600000US90803","ZCTA5 90803","1959","2"
"8600000US90804","ZCTA5 90804","1965","3"
"8600000US90805","ZCTA5 90805","1958","2"
"8600000US90806","ZCTA5 90806","1953","2"
"8600000US90807","ZCTA5 90807","1954","2"
"8600000US90808","ZCTA5 90808","1955","1"
"8600000US90810","ZCTA5 90810","1953","1"
"8600000US90813","ZCTA5 90813","1958","1"
"8600000US90814","ZCTA5 90814","1958","3"
"8600000US90815","ZCTA5 90815","1956","2"
"8600000US90822","ZCTA5 90822","-","**"
"8600000US90831","ZCTA5 90831","-","**"
"8600000US91001","ZCTA5 91001","1946","1"
"8600000US91006","ZCTA5 91006","1959","2"
"8600000US91007","ZCTA5 91007","1964","2"
"8600000US91008","ZCTA5 91008","1974","12"
"8600000US91010","ZCTA5 91010","1964","3"
"8600000US91011","ZCTA5 91011","1956","2"
"8600000US91016","ZCTA5 91016","1959","2"
"8600000US91020","ZCTA5 91020","1964","4"
"8600000US91024","ZCTA5 91024","1955","3"
"8600000US91030","ZCTA5 91030","1953","2"
"8600000US91040","ZCTA5 91040","1959","1"
"8600000US91042","ZCTA5 91042","1962","2"
"8600000US91046","ZCTA5 91046","1977","15"
"8600000US91101","ZCTA5 91101","1976","2"
"8600000US91103","ZCTA5 91103","1953","3"
"8600000US91104","ZCTA5 91104","1939-","***"
"8600000US91105","ZCTA5 91105","1958","2"
"8600000US91106","ZCTA5 91106","1967","2"
"8600000US91107","ZCTA5 91107","1954","2"
"8600000US91108","ZCTA5 91108","1944","2"
"8600000US91201","ZCTA5 91201","1955","3"
"8600000US91202","ZCTA5 91202","1961","3"
"8600000US91203","ZCTA5 91203","1973","3"
"8600000US91204","ZCTA5 91204","1967","3"
"8600000US91205","ZCTA5 91205","1963","2"
"8600000US91206","ZCTA5 91206","1967","2"
"8600000US91207","ZCTA5 91207","1959","3"
"8600000US91208","ZCTA5 91208","1957","3"
"8600000US91210","ZCTA5 91210","2005","2"
"8600000US91214","ZCTA5 91214","1956","2"
"8600000US91301","ZCTA5 91301","1982","1"
"8600000US91302","ZCTA5 91302","1984","1"
"8600000US91303","ZCTA5 91303","1979","2"
"8600000US91304","ZCTA5 91304","1972","2"
"8600000US91306","ZCTA5 91306","1962","2"
"8600000US91307","ZCTA5 91307","1965","2"
"8600000US91311","ZCTA5 91311","1974","2"
"8600000US91316","ZCTA5 91316","1969","2"
"8600000US91320","ZCTA5 91320","1979","1"
"8600000US91321","ZCTA5 91321","1980","2"
"8600000US91324","ZCTA5 91324","1970","2"
"8600000US91325","ZCTA5 91325","1968","2"
"8600000US91326","ZCTA5 91326","1978","2"
"8600000US91330","ZCTA5 91330","-","**"
"8600000US91331","ZCTA5 91331","1958","1"
"8600000US91335","ZCTA5 91335","1963","2"
"8600000US91340","ZCTA5 91340","1957","2"
"8600000US91342","ZCTA5 91342","1973","1"
"8600000US91343","ZCTA5 91343","1967","1"
"8600000US91344","ZCTA5 91344","1962","1"
"8600000US91345","ZCTA5 91345","1957","1"
"8600000US91350","ZCTA5 91350","1987","2"
"8600000US91351","ZCTA5 91351","1983","2"
"8600000US91352","ZCTA5 91352","1960","1"
"8600000US91354","ZCTA5 91354","1998","1"
"8600000US91355","ZCTA5 91355","1985","2"
"8600000US91356","ZCTA5 91356","1972","1"
"8600000US91360","ZCTA5 91360","1972","2"
"8600000US91361","ZCTA5 91361","1976","1"
"8600000US91362","ZCTA5 91362","1983","1"
"8600000US91364","ZCTA5 91364","1964","2"
"8600000US91367","ZCTA5 91367","1973","2"
"8600000US91371","ZCTA5 91371","-","**"
"8600000US91377","ZCTA5 91377","1986","1"
"8600000US91381","ZCTA5 91381","1999","2"
"8600000US91384","ZCTA5 91384","1990","2"
"8600000US91387","ZCTA5 91387","1988","1"
"8600000US91390","ZCTA5 91390","1989","1"
"8600000US91401","ZCTA5 91401","1964","2"
"8600000US91402","ZCTA5 91402","1969","2"
"8600000US91403","ZCTA5 91403","1969","3"
"8600000US91405","ZCTA5 91405","1972","2"
"8600000US91406","ZCTA5 91406","1964","1"
"8600000US91411","ZCTA5 91411","1973","2"
"8600000US91423","ZCTA5 91423","1966","2"
"8600000US91436","ZCTA5 91436","1963","2"
"8600000US91501","ZCTA5 91501","1972","3"
"8600000US91502","ZCTA5 91502","1979","3"
"8600000US91504","ZCTA5 91504","1959","1"
"8600000US91505","ZCTA5 91505","1951","2"
"8600000US91506","ZCTA5 91506","1950","2"
"8600000US91601","ZCTA5 91601","1971","2"
"8600000US91602","ZCTA5 91602","1969","3"
"8600000US91604","ZCTA5 91604","1970","2"
"8600000US91605","ZCTA5 91605","1964","2"
"8600000US91606","ZCTA5 91606","1962","2"
